"18E35'48""";"49N56'12""";2467011
"18E55'26""";"50N21'21""";2462011
"18E34'01""";"50N05'35""";2473011
"19E55'32""";"50N00'27""";1261011
"19E56'21""";"50N03'42""";1261011
"22E12'01""";"49N33'45""";1817011
"20E58'28""";"49N36'42""";1210011
"21E00'40""";"52N11'29""";1465011
"20E24'07""";"49N42'17""";1207011
"22E25'17""";"50N15'34""";1808011
"15E15'35""";"52N44'18""";1213035
"16E03'56""";"51N30'12""";0216044
"16E56'14""";"52N22'26""";3064011
"16E54'44""";"52N26'41""";3064011
"16E58'02""";"52N25'04""";3064011
"16E54'44""";"52N24'54""";3064011
"16E51'10""";"52N14'18""";3021104
"16E35'04""";"52N36'44""";3024074
"15E31'19""";"51N55'58""";0862011
"20E55'30""";"52N18'32""";1465011
"22E00'34""";"52N23'52""";1433011
"21E02'52""";"52N09'26""";1465011
"23E08'41""";"53N07'15""";2061011
"23E06'07""";"53N07'34""";2061011
"18E55'42""";"49N43'40""";2403042
"19E10'43""";"49N41'00""";2417011
"20E40'41""";"53N49'48""";2814014
"19E05'48""";"50N47'26""";2464011
"18E44'33""";"50N58'06""";2406024
"18E52'16""";"50N34'18""";2413011
"18E52'11""";"50N20'26""";2462011
"18E54'35""";"50N21'15""";2462011
"18E31'32""";"50N26'55""";2405074
"19E01'57""";"50N21'53""";0223092
"18E12'26""";"50N04'56""";2411011
"20E02'56""";"50N05'19""";1261011
"20E02'39""";"50N02'17""";1261011
"21E20'07""";"49N45'05""";1805092
"22E16'37""";"49N30'44""";1817074
"22E29'33""";"49N23'02""";1821052
"22E15'46""";"49N27'55""";1201052
"22E04'41""";"49N39'23""";1802015
"22E12'56""";"49N33'00""";1817011
"21E47'03""";"49N40'43""";3021105
"22E41'12""";"49N18'56""";1801032
"20E42'04""";"49N36'35""";1262011
"15E41'21""";"50N49'34""";0206082
"17E20'39""";"50N29'26""";1607054
"23E08'18""";"50N15'10""";1809024
"22E49'52""";"49N56'31""";1804021
"22E39'53""";"50N00'38""";1804011
"22E48'39""";"49N52'22""";1813072
"22E13'32""";"50N04'45""";1810011
"21E42'44""";"50N04'20""";1815044
"21E53'53""";"49N49'12""";1819032
"21E29'52""";"50N11'05""";1811075
"21E57'24""";"50N15'56""";1806052
"22E19'26""";"50N19'14""";1808054
"22E03'31""";"50N04'00""";1863011
"22E08'20""";"50N19'39""";1816082
"21E58'25""";"50N00'34""";1863011
"21E27'39""";"50N18'17""";1811011
"22E14'28""";"50N08'59""";1810062
"21E23'17""";"50N02'46""";1803011
"21E27'46""";"50N00'52""";1803042
"21E27'43""";"49N57'51""";1803042
"21E45'24""";"50N24'50""";1820044
"22E03'18""";"50N34'08""";1818011
"21E57'41""";"50N25'51""";1818022
"21E38'16""";"50N31'27""";1864011
"20E17'45""";"53N35'05""";2814094
"23E35'35""";"52N44'24""";2005011
"22E45'38""";"51N58'44""";0601011
"22E48'01""";"51N58'53""";0601011
"23E09'17""";"50N58'36""";0606011
"22E33'19""";"51N14'30""";0663011
"19E58'24""";"50N50'56""";2613064
"21E23'16""";"50N56'08""";2607011
"21E04'44""";"51N01'48""";2611011
"20E36'26""";"50N53'00""";2661011
"20E36'07""";"50N51'49""";2661011
"21E25'36""";"50N56'20""";2607011
"21E02'52""";"50N51'36""";2661011
"19E17'52""";"51N57'41""";1020021
"21E58'04""";"51N25'05""";0614011
"19E39'48""";"51N23'47""";1062011
"19E24'16""";"52N12'34""";1002011
